review_id,user_id,book_id,review_text,rating,review_date
1,1,B007,Great book with helpful ideas and an enjoyable narrative.,3.0,2025-04-04T01:00:00
2,1,B002,Great book with helpful ideas and an enjoyable narrative.,4.0,2025-04-19T20:00:00
3,1,B016,Interesting but the pacing was slow.,4.2,2025-01-01T19:00:00
4,1,B016,Confusing and disappointing in places.,3.0,2025-11-11T07:00:00
5,1,B008,Confusing and disappointing in places.,3.1,2025-03-12T17:00:00
6,1,B010,Excellent and interesting read. I loved the story.,1.6,2026-06-14T14:00:00
7,2,B011,Excellent and interesting read. I loved the story.,2.1,2026-02-25T14:00:00
8,2,B015,Great book with helpful ideas and an enjoyable narrative.,4.0,2025-04-22T07:00:00
9,2,B007,Interesting but the pacing was slow.,3.5,2026-04-11T09:00:00
10,2,B015,Great book with helpful ideas and an enjoyable narrative.,4.2,2025-06-11T01:00:00
11,3,B020,Interesting but the pacing was slow.,4.1,2025-04-05T20:00:00
12,3,B020,Confusing and disappointing in places.,3.6,2025-05-14T20:00:00
13,4,B003,Excellent and interesting read. I loved the story.,3.5,2025-10-01T05:00:00
14,5,B019,Wonderful book. I enjoyed it and recommend it.,3.6,2025-07-14T08:00:00
15,5,B016,Great book with helpful ideas and an enjoyable narrative.,4.3,2025-06-23T21:00:00
16,5,B006,Excellent and interesting read. I loved the story.,5.0,2025-11-14T07:00:00
17,6,B016,Interesting but the pacing was slow.,2.8,2025-10-09T14:00:00
18,6,B013,Great book with helpful ideas and an enjoyable narrative.,2.7,2025-11-24T17:00:00
19,7,B019,Interesting but the pacing was slow.,4.0,2025-03-27T20:00:00
20,7,B019,Excellent and interesting read. I loved the story.,4.2,2025-02-11T00:00:00
21,7,B015,Excellent and interesting read. I loved the story.,4.1,2025-04-28T05:00:00
22,8,B014,Interesting but the pacing was slow.,3.6,2025-02-12T11:00:00
23,8,B018,Interesting but the pacing was slow.,4.0,2025-01-13T13:00:00
24,8,B015,Confusing and disappointing in places.,2.0,2025-09-09T02:00:00
25,8,B017,Great book with helpful ideas and an enjoyable narrative.,5.0,2026-01-24T10:00:00
26,9,B020,Wonderful book. I enjoyed it and recommend it.,3.7,2025-10-31T07:00:00
27,9,B005,Excellent and interesting read. I loved the story.,3.7,2025-07-08T01:00:00
28,9,B004,Wonderful book. I enjoyed it and recommend it.,3.1,2026-02-15T15:00:00
29,9,B013,Confusing and disappointing in places.,4.4,2025-11-08T02:00:00
30,9,B013,Excellent and interesting read. I loved the story.,5.0,2026-03-16T09:00:00
31,9,B019,Great book with helpful ideas and an enjoyable narrative.,2.6,2025-08-01T20:00:00
32,10,B002,Wonderful book. I enjoyed it and recommend it.,4.6,2026-05-26T20:00:00
33,10,B001,Wonderful book. I enjoyed it and recommend it.,5.0,2025-05-15T09:00:00
34,10,B007,Interesting but the pacing was slow.,3.1,2026-04-18T03:00:00
35,11,B019,Confusing and disappointing in places.,3.3,2025-11-26T06:00:00
36,11,B006,Wonderful book. I enjoyed it and recommend it.,3.5,2025-06-05T15:00:00
37,11,B020,Interesting but the pacing was slow.,5.0,2026-05-15T17:00:00
38,12,B013,Confusing and disappointing in places.,2.9,2025-09-04T15:00:00
39,12,B002,Confusing and disappointing in places.,3.9,2026-04-22T09:00:00
40,13,B014,Interesting but the pacing was slow.,2.3,2025-02-10T09:00:00
41,13,B006,Wonderful book. I enjoyed it and recommend it.,5.0,2026-02-11T17:00:00
42,14,B017,Excellent and interesting read. I loved the story.,3.7,2026-04-21T22:00:00
43,14,B017,Great book with helpful ideas and an enjoyable narrative.,4.6,2025-02-08T09:00:00
44,14,B019,Confusing and disappointing in places.,3.0,2026-02-22T08:00:00
45,15,B020,Interesting but the pacing was slow.,3.4,2025-09-14T05:00:00
46,15,B003,Confusing and disappointing in places.,1.8,2026-06-18T09:00:00
47,15,B016,Excellent and interesting read. I loved the story.,4.0,2025-10-29T14:00:00
48,15,B012,Excellent and interesting read. I loved the story.,5.0,2026-05-01T02:00:00
49,16,B010,Wonderful book. I enjoyed it and recommend it.,3.3,2026-02-15T02:00:00
50,16,B016,Interesting but the pacing was slow.,3.5,2025-08-09T12:00:00
51,16,B012,Excellent and interesting read. I loved the story.,3.4,2025-06-09T05:00:00
52,17,B010,Excellent and interesting read. I loved the story.,2.7,2025-06-25T19:00:00
53,17,B014,Great book with helpful ideas and an enjoyable narrative.,3.7,2026-02-10T09:00:00
54,17,B018,Great book with helpful ideas and an enjoyable narrative.,4.2,2025-07-18T11:00:00
55,17,B001,Confusing and disappointing in places.,3.3,2025-11-27T20:00:00
56,17,B020,Interesting but the pacing was slow.,4.0,2025-03-17T09:00:00
57,18,B007,Excellent and interesting read. I loved the story.,4.5,2025-02-23T20:00:00
58,18,B005,Excellent and interesting read. I loved the story.,3.7,2025-05-25T11:00:00
59,18,B007,Interesting but the pacing was slow.,4.5,2025-12-16T15:00:00
60,18,B006,Wonderful book. I enjoyed it and recommend it.,4.6,2025-05-15T19:00:00
61,18,B008,Confusing and disappointing in places.,2.1,2025-07-24T19:00:00
62,19,B020,Excellent and interesting read. I loved the story.,3.5,2026-06-25T13:00:00
63,19,B002,Confusing and disappointing in places.,4.5,2025-02-18T07:00:00
64,19,B020,Confusing and disappointing in places.,4.8,2025-10-26T13:00:00
65,21,B013,Excellent and interesting read. I loved the story.,4.8,2026-01-11T12:00:00
66,21,B006,Great book with helpful ideas and an enjoyable narrative.,2.6,2025-08-08T19:00:00
67,21,B004,Wonderful book. I enjoyed it and recommend it.,3.5,2025-05-23T07:00:00
68,22,B012,Interesting but the pacing was slow.,3.5,2025-10-18T02:00:00
69,22,B020,Wonderful book. I enjoyed it and recommend it.,3.0,2025-12-12T18:00:00
70,23,B002,Wonderful book. I enjoyed it and recommend it.,4.8,2025-07-19T11:00:00
71,23,B020,Excellent and interesting read. I loved the story.,3.9,2026-04-07T17:00:00
72,24,B014,Interesting but the pacing was slow.,2.9,2025-07-16T07:00:00
73,24,B004,Wonderful book. I enjoyed it and recommend it.,4.2,2026-03-29T20:00:00
74,24,B013,Wonderful book. I enjoyed it and recommend it.,3.0,2025-10-05T17:00:00
75,24,B019,Great book with helpful ideas and an enjoyable narrative.,2.8,2025-02-23T03:00:00
76,24,B003,Confusing and disappointing in places.,2.3,2025-01-06T17:00:00
77,25,B006,Wonderful book. I enjoyed it and recommend it.,3.5,2025-03-25T16:00:00
78,27,B020,Great book with helpful ideas and an enjoyable narrative.,4.0,2025-09-08T23:00:00
79,27,B015,Wonderful book. I enjoyed it and recommend it.,4.5,2025-02-27T04:00:00
80,27,B010,Wonderful book. I enjoyed it and recommend it.,2.9,2026-06-18T07:00:00
81,27,B007,Great book with helpful ideas and an enjoyable narrative.,4.6,2025-11-04T12:00:00
82,28,B017,Confusing and disappointing in places.,4.4,2026-01-15T02:00:00
83,28,B012,Great book with helpful ideas and an enjoyable narrative.,4.1,2025-12-07T09:00:00
84,28,B010,Great book with helpful ideas and an enjoyable narrative.,3.9,2025-09-06T22:00:00
85,28,B007,Great book with helpful ideas and an enjoyable narrative.,3.3,2026-02-28T01:00:00
86,28,B002,Wonderful book. I enjoyed it and recommend it.,4.1,2026-03-04T09:00:00
87,29,B016,Great book with helpful ideas and an enjoyable narrative.,3.1,2025-02-19T00:00:00
88,29,B020,Wonderful book. I enjoyed it and recommend it.,3.7,2025-01-10T06:00:00
89,29,B013,Confusing and disappointing in places.,3.2,2025-12-29T08:00:00
90,29,B013,Confusing and disappointing in places.,5.0,2025-02-27T20:00:00
