user_id,age_group,country,signup_date
1,45-54,Australia,2024-01-01
2,55+,USA,2024-01-03
3,35-44,USA,2024-01-05
4,55+,UK,2024-01-07
5,55+,India,2024-01-09
6,25-34,Australia,2024-01-11
7,35-44,Australia,2024-01-13
8,35-44,India,2024-01-15
9,35-44,India,2024-01-17
10,55+,India,2024-01-19
11,45-54,India,2024-01-21
12,35-44,Australia,2024-01-23
13,55+,India,2024-01-25
14,25-34,India,2024-01-27
15,45-54,India,2024-01-29
16,25-34,India,2024-01-31
17,45-54,India,2024-02-02
18,55+,USA,2024-02-04
19,18-24,USA,2024-02-06
20,45-54,India,2024-02-08
21,25-34,India,2024-02-10
22,55+,India,2024-02-12
23,45-54,UK,2024-02-14
24,18-24,India,2024-02-16
25,18-24,UK,2024-02-18
26,35-44,Australia,2024-02-20
27,35-44,India,2024-02-22
28,25-34,Canada,2024-02-24
29,45-54,India,2024-02-26
30,45-54,India,2024-02-28
31,35-44,UK,2024-03-01
32,45-54,USA,2024-03-03
33,45-54,Canada,2024-03-05
34,18-24,India,2024-03-07
35,35-44,India,2024-03-09
36,55+,UK,2024-03-11
37,35-44,USA,2024-03-13
38,55+,India,2024-03-15
39,18-24,Australia,2024-03-17
40,25-34,India,2024-03-19
41,45-54,India,2024-03-21
42,18-24,Canada,2024-03-23
43,45-54,USA,2024-03-25
44,25-34,Australia,2024-03-27
45,25-34,India,2024-03-29
46,18-24,UK,2024-03-31
47,25-34,UK,2024-04-02
48,55+,Australia,2024-04-04
49,25-34,India,2024-04-06
50,45-54,India,2024-04-08
51,45-54,India,2024-04-10
52,45-54,India,2024-04-12
53,45-54,India,2024-04-14
54,55+,India,2024-04-16
55,35-44,India,2024-04-18
56,18-24,USA,2024-04-20
57,45-54,Australia,2024-04-22
58,25-34,India,2024-04-24
59,45-54,India,2024-04-26
60,25-34,USA,2024-04-28
61,25-34,India,2024-04-30
62,45-54,India,2024-05-02
63,55+,India,2024-05-04
64,25-34,India,2024-05-06
65,25-34,USA,2024-05-08
66,45-54,India,2024-05-10
67,25-34,USA,2024-05-12
68,25-34,UK,2024-05-14
69,45-54,India,2024-05-16
70,45-54,India,2024-05-18
71,18-24,India,2024-05-20
72,55+,UK,2024-05-22
73,55+,India,2024-05-24
74,25-34,India,2024-05-26
75,55+,UK,2024-05-28
76,25-34,India,2024-05-30
77,18-24,India,2024-06-01
78,45-54,India,2024-06-03
79,45-54,India,2024-06-05
80,45-54,Canada,2024-06-07
81,55+,India,2024-06-09
82,18-24,UK,2024-06-11
83,55+,India,2024-06-13
84,55+,USA,2024-06-15
85,18-24,India,2024-06-17
86,18-24,India,2024-06-19
87,18-24,Australia,2024-06-21
