user_id,recency,frequency,monetary,cluster,segment
1,12,11,6597.3,2,High Value Readers
2,76,8,5950.74,0,Frequent Readers
3,104,6,3424.08,1,At Risk / Inactive
4,60,3,2191.75,1,At Risk / Inactive
5,123,7,4781.56,0,Frequent Readers
6,214,5,4134.38,3,Occasional Readers
7,153,5,2769.7400000000002,3,Occasional Readers
8,12,9,8273.9,2,High Value Readers
9,4,12,8560.31,2,High Value Readers
10,20,10,7445.77,2,High Value Readers
11,3,7,4387.79,0,Frequent Readers
12,74,5,3758.81,1,At Risk / Inactive
13,62,5,3839.08,1,At Risk / Inactive
14,66,6,4643.08,0,Frequent Readers
15,8,13,8789.24,2,High Value Readers
16,2,8,4063.67,0,Frequent Readers
17,22,7,4024.04,0,Frequent Readers
18,61,12,7864.67,2,High Value Readers
19,1,7,4156.04,0,Frequent Readers
20,87,8,6185.52,0,Frequent Readers
21,81,7,6742.4400000000005,0,Frequent Readers
22,11,10,7576.099999999999,2,High Value Readers
23,10,10,6332.53,2,High Value Readers
24,52,11,7607.110000000001,2,High Value Readers
25,126,9,6092.4,0,Frequent Readers
26,155,5,3420.2200000000003,3,Occasional Readers
27,8,7,5309.04,0,Frequent Readers
28,114,4,2130.2000000000003,1,At Risk / Inactive
29,47,9,6280.55,0,Frequent Readers
30,80,12,7946.75,2,High Value Readers
31,23,7,4534.05,0,Frequent Readers
32,1,12,10151.79,2,High Value Readers
33,34,6,3589.1800000000003,1,At Risk / Inactive
34,102,2,962.0600000000001,1,At Risk / Inactive
35,10,9,5440.49,0,Frequent Readers
36,134,10,8367.6,2,High Value Readers
37,58,5,3682.5,1,At Risk / Inactive
38,78,8,4908.37,0,Frequent Readers
39,85,8,5211.1,0,Frequent Readers
40,37,9,6517.7,0,Frequent Readers
41,39,7,5172.18,0,Frequent Readers
42,6,7,5620.13,0,Frequent Readers
43,183,9,6111.88,3,Occasional Readers
44,32,10,7435.71,2,High Value Readers
45,25,9,5683.51,0,Frequent Readers
46,49,5,3666.62,1,At Risk / Inactive
47,34,3,2645.57,1,At Risk / Inactive
48,74,2,1487.99,1,At Risk / Inactive
49,78,4,1987.7,1,At Risk / Inactive
50,18,9,5299.860000000001,0,Frequent Readers
51,107,5,2769.94,1,At Risk / Inactive
52,239,6,3152.32,3,Occasional Readers
53,43,13,8800.53,2,High Value Readers
54,25,7,3712.54,0,Frequent Readers
55,167,9,7651.610000000001,2,High Value Readers
56,26,6,2870.16,1,At Risk / Inactive
57,18,8,4956.43,0,Frequent Readers
58,54,6,3016.82,1,At Risk / Inactive
