purchase_id,user_id,book_id,quantity,price,purchase_date
1,1,B009,1,687.7,2026-04-15T04:00:00
2,1,B008,1,765.6,2026-02-13T11:00:00
3,1,B019,2,312.86,2026-03-09T19:00:00
4,1,B013,1,574.36,2026-04-25T16:00:00
5,1,B008,1,765.6,2025-12-15T03:00:00
6,1,B002,1,370.42,2025-04-19T20:00:00
7,1,B016,1,661.88,2025-01-01T19:00:00
8,1,B016,1,661.88,2025-11-11T07:00:00
9,1,B002,2,370.42,2025-06-19T08:00:00
10,1,B018,1,393.58,2025-07-25T22:00:00
11,1,B010,1,349.72,2026-06-14T14:00:00
12,2,B010,2,349.72,2026-02-21T06:00:00
13,2,B015,2,603.15,2025-04-22T07:00:00
14,2,B002,1,370.42,2025-10-13T14:00:00
15,2,B007,1,492.66,2025-06-20T13:00:00
16,2,B010,2,349.72,2025-03-02T05:00:00
17,2,B007,2,492.66,2026-04-11T09:00:00
18,2,B010,2,349.72,2025-11-18T01:00:00
19,2,B017,1,797.72,2025-03-12T19:00:00
20,3,B008,1,765.6,2025-04-17T04:00:00
21,3,B018,1,393.58,2025-06-09T08:00:00
22,3,B020,1,690.27,2025-04-05T20:00:00
23,3,B002,1,370.42,2026-03-14T17:00:00
24,3,B004,1,612.34,2025-06-02T17:00:00
25,3,B006,1,591.87,2025-06-01T13:00:00
26,4,B006,1,591.87,2025-07-01T13:00:00
27,4,B015,2,603.15,2026-04-27T07:00:00
28,4,B018,1,393.58,2025-08-22T07:00:00
29,5,B019,2,312.86,2025-07-14T08:00:00
30,5,B001,1,646.6,2025-07-21T11:00:00
31,5,B002,1,370.42,2026-02-23T10:00:00
32,5,B001,2,646.6,2025-01-01T09:00:00
33,5,B006,1,591.87,2025-11-26T14:00:00
34,5,B016,1,661.88,2025-06-23T21:00:00
35,5,B006,1,591.87,2026-01-29T15:00:00
36,6,B018,2,393.58,2025-09-13T03:00:00
37,6,B003,2,672.69,2025-09-11T20:00:00
38,6,B016,1,661.88,2025-10-09T14:00:00
39,6,B013,1,574.36,2025-11-24T17:00:00
40,6,B008,1,765.6,2025-08-08T02:00:00
41,7,B002,2,370.42,2025-08-14T15:00:00
42,7,B019,2,312.86,2025-03-27T20:00:00
43,7,B001,1,646.6,2026-01-24T10:00:00
44,7,B011,1,263.92,2025-09-16T02:00:00
45,7,B007,1,492.66,2025-06-06T07:00:00
46,8,B014,1,254.16,2025-02-12T11:00:00
47,8,B010,1,349.72,2026-04-16T22:00:00
48,8,B005,1,352.05,2026-05-11T14:00:00
49,8,B015,2,603.15,2025-09-09T02:00:00
50,8,B017,1,797.72,2026-01-24T10:00:00
51,8,B006,1,591.87,2025-12-30T08:00:00
52,8,B017,2,797.72,2026-06-14T06:00:00
53,8,B008,2,765.6,2025-09-04T22:00:00
54,8,B017,2,797.72,2025-01-18T02:00:00
55,9,B006,1,591.87,2026-06-22T19:00:00
56,9,B020,1,690.27,2025-10-31T07:00:00
57,9,B012,1,621.61,2025-05-10T08:00:00
58,9,B009,2,687.7,2025-01-13T18:00:00
59,9,B005,2,352.05,2025-07-08T01:00:00
60,9,B004,1,612.34,2026-02-15T15:00:00
61,9,B005,2,352.05,2025-08-20T16:00:00
62,9,B019,1,312.86,2025-08-01T20:00:00
63,9,B013,2,574.36,2025-03-18T05:00:00
64,9,B004,1,612.34,2026-04-27T09:00:00
65,9,B004,1,612.34,2025-07-22T13:00:00
66,9,B013,1,574.36,2025-09-30T04:00:00
67,10,B011,2,263.92,2025-06-29T15:00:00
68,10,B007,2,492.66,2025-07-05T18:00:00
69,10,B003,1,672.69,2026-04-27T11:00:00
70,10,B013,2,574.36,2025-06-14T10:00:00
71,10,B013,1,574.36,2026-02-15T17:00:00
72,10,B011,1,263.92,2026-02-28T01:00:00
73,10,B002,1,370.42,2026-05-26T20:00:00
74,10,B001,2,646.6,2025-05-15T09:00:00
75,10,B011,1,263.92,2025-09-03T22:00:00
76,10,B003,2,672.69,2026-06-06T22:00:00
77,11,B018,2,393.58,2026-05-11T11:00:00
78,11,B009,2,687.7,2025-08-28T13:00:00
79,11,B018,1,393.58,2026-06-23T14:00:00
80,11,B019,1,312.86,2025-06-08T02:00:00
81,11,B014,1,254.16,2026-02-12T20:00:00
82,11,B020,1,690.27,2026-05-15T17:00:00
83,11,B013,1,574.36,2025-08-21T23:00:00
84,12,B007,2,492.66,2025-07-04T05:00:00
85,12,B018,1,393.58,2025-09-18T14:00:00
86,12,B016,2,661.88,2025-12-20T18:00:00
87,12,B005,2,352.05,2026-04-13T09:00:00
88,12,B005,1,352.05,2025-04-20T07:00:00
89,13,B018,1,393.58,2025-07-14T19:00:00
90,13,B018,1,393.58,2026-03-02T05:00:00
91,13,B015,2,603.15,2025-10-07T05:00:00
92,13,B016,1,661.88,2026-04-25T02:00:00
93,13,B006,2,591.87,2026-02-11T17:00:00
94,14,B011,1,263.92,2025-12-02T19:00:00
95,14,B017,2,797.72,2026-04-21T22:00:00
96,14,B015,2,603.15,2025-05-19T12:00:00
97,14,B019,1,312.86,2026-02-22T08:00:00
98,14,B003,1,672.69,2025-08-30T11:00:00
99,14,B006,1,591.87,2026-01-03T01:00:00
100,15,B020,1,690.27,2025-09-14T05:00:00
101,15,B001,1,646.6,2025-09-01T18:00:00
102,15,B006,1,591.87,2025-05-10T23:00:00
103,15,B016,1,661.88,2025-04-22T14:00:00
104,15,B003,1,672.69,2026-06-18T09:00:00
105,15,B011,1,263.92,2025-06-01T02:00:00
106,15,B016,2,661.88,2025-10-29T14:00:00
107,15,B004,1,612.34,2025-08-09T13:00:00
108,15,B016,1,661.88,2026-04-10T12:00:00
109,15,B016,1,661.88,2025-11-17T21:00:00
110,15,B012,1,621.61,2026-05-01T02:00:00
111,15,B020,1,690.27,2025-12-04T21:00:00
112,15,B020,1,690.27,2026-03-10T23:00:00
113,16,B011,1,263.92,2025-10-01T00:00:00
114,16,B004,1,612.34,2025-12-26T00:00:00
115,16,B010,1,349.72,2026-02-15T02:00:00
116,16,B016,1,661.88,2025-08-09T12:00:00
117,16,B004,1,612.34,2026-03-29T13:00:00
118,16,B009,1,687.7,2026-06-24T21:00:00
119,16,B012,1,621.61,2025-02-26T00:00:00
120,16,B014,1,254.16,2025-09-19T09:00:00
121,17,B003,1,672.69,2026-03-04T09:00:00
122,17,B010,1,349.72,2025-06-25T19:00:00
123,17,B018,1,393.58,2025-07-18T11:00:00
124,17,B002,1,370.42,2025-09-20T06:00:00
125,17,B001,2,646.6,2025-11-27T20:00:00
126,17,B020,1,690.27,2025-03-17T09:00:00
127,17,B014,1,254.16,2026-06-04T12:00:00
128,18,B013,1,574.36,2025-10-17T12:00:00
129,18,B010,1,349.72,2026-01-31T09:00:00
130,18,B005,2,352.05,2025-05-25T11:00:00
131,18,B002,1,370.42,2025-11-14T17:00:00
132,18,B017,1,797.72,2026-01-06T00:00:00
133,18,B007,1,492.66,2025-12-16T15:00:00
134,18,B006,1,591.87,2025-05-15T19:00:00
135,18,B007,2,492.66,2025-06-19T23:00:00
136,18,B010,1,349.72,2026-04-05T07:00:00
137,18,B010,2,349.72,2026-04-26T06:00:00
138,18,B006,2,591.87,2025-10-16T12:00:00
139,18,B008,1,765.6,2025-07-24T19:00:00
140,19,B014,2,254.16,2025-12-24T00:00:00
141,19,B019,1,312.86,2025-12-10T04:00:00
142,19,B006,1,591.87,2025-01-20T08:00:00
143,19,B020,1,690.27,2026-06-25T13:00:00
144,19,B002,2,370.42,2025-02-18T07:00:00
145,19,B012,1,621.61,2025-01-17T20:00:00
146,19,B020,1,690.27,2025-10-26T13:00:00
147,20,B010,2,349.72,2025-06-29T21:00:00
148,20,B008,1,765.6,2025-02-07T09:00:00
149,20,B013,2,574.36,2025-11-20T09:00:00
150,20,B020,1,690.27,2025-07-15T09:00:00
151,20,B005,1,352.05,2025-12-06T08:00:00
152,20,B001,2,646.6,2026-02-14T23:00:00
153,20,B013,1,574.36,2025-10-28T10:00:00
154,20,B016,1,661.88,2026-03-31T11:00:00
155,21,B017,1,797.72,2026-04-06T11:00:00
156,21,B013,1,574.36,2026-01-11T12:00:00
157,21,B008,2,765.6,2025-01-27T23:00:00
158,21,B006,2,591.87,2025-08-08T19:00:00
159,21,B012,2,621.61,2025-03-17T14:00:00
160,21,B008,1,765.6,2025-11-24T21:00:00
161,21,B001,1,646.6,2025-06-28T11:00:00
162,22,B008,1,765.6,2025-07-06T04:00:00
163,22,B015,1,603.15,2026-06-15T04:00:00
164,22,B012,1,621.61,2025-10-18T02:00:00
165,22,B020,1,690.27,2025-12-12T18:00:00
166,22,B015,2,603.15,2025-09-29T20:00:00
167,22,B015,2,603.15,2025-11-06T15:00:00
168,22,B015,2,603.15,2025-03-16T22:00:00
169,22,B003,1,672.69,2026-04-21T06:00:00
170,22,B010,1,349.72,2025-04-19T10:00:00
171,22,B014,1,254.16,2025-09-11T04:00:00
172,23,B020,2,690.27,2025-02-19T01:00:00
