review_id,user_id,book_id,review_text,rating,review_date,sentiment,sentiment_score
1,1,B007,Great book with helpful ideas and an enjoyable narrative.,3.0,2025-04-04T01:00:00,positive,2
2,1,B002,Great book with helpful ideas and an enjoyable narrative.,4.0,2025-04-19T20:00:00,positive,2
3,1,B016,Interesting but the pacing was slow.,4.2,2025-01-01T19:00:00,neutral,0
4,1,B016,Confusing and disappointing in places.,3.0,2025-11-11T07:00:00,negative,-2
5,1,B008,Confusing and disappointing in places.,3.1,2025-03-12T17:00:00,negative,-2
6,1,B010,Excellent and interesting read. I loved the story.,1.6,2026-06-14T14:00:00,positive,3
7,2,B011,Excellent and interesting read. I loved the story.,2.1,2026-02-25T14:00:00,positive,3
8,2,B015,Great book with helpful ideas and an enjoyable narrative.,4.0,2025-04-22T07:00:00,positive,2
9,2,B007,Interesting but the pacing was slow.,3.5,2026-04-11T09:00:00,neutral,0
10,2,B015,Great book with helpful ideas and an enjoyable narrative.,4.2,2025-06-11T01:00:00,positive,2
11,3,B020,Interesting but the pacing was slow.,4.1,2025-04-05T20:00:00,neutral,0
12,3,B020,Confusing and disappointing in places.,3.6,2025-05-14T20:00:00,negative,-2
13,4,B003,Excellent and interesting read. I loved the story.,3.5,2025-10-01T05:00:00,positive,3
14,5,B019,Wonderful book. I enjoyed it and recommend it.,3.6,2025-07-14T08:00:00,positive,2
15,5,B016,Great book with helpful ideas and an enjoyable narrative.,4.3,2025-06-23T21:00:00,positive,2
16,5,B006,Excellent and interesting read. I loved the story.,5.0,2025-11-14T07:00:00,positive,3
17,6,B016,Interesting but the pacing was slow.,2.8,2025-10-09T14:00:00,neutral,0
18,6,B013,Great book with helpful ideas and an enjoyable narrative.,2.7,2025-11-24T17:00:00,positive,2
19,7,B019,Interesting but the pacing was slow.,4.0,2025-03-27T20:00:00,neutral,0
20,7,B019,Excellent and interesting read. I loved the story.,4.2,2025-02-11T00:00:00,positive,3
21,7,B015,Excellent and interesting read. I loved the story.,4.1,2025-04-28T05:00:00,positive,3
22,8,B014,Interesting but the pacing was slow.,3.6,2025-02-12T11:00:00,neutral,0
23,8,B018,Interesting but the pacing was slow.,4.0,2025-01-13T13:00:00,neutral,0
24,8,B015,Confusing and disappointing in places.,2.0,2025-09-09T02:00:00,negative,-2
25,8,B017,Great book with helpful ideas and an enjoyable narrative.,5.0,2026-01-24T10:00:00,positive,2
26,9,B020,Wonderful book. I enjoyed it and recommend it.,3.7,2025-10-31T07:00:00,positive,2
27,9,B005,Excellent and interesting read. I loved the story.,3.7,2025-07-08T01:00:00,positive,3
28,9,B004,Wonderful book. I enjoyed it and recommend it.,3.1,2026-02-15T15:00:00,positive,2
29,9,B013,Confusing and disappointing in places.,4.4,2025-11-08T02:00:00,negative,-2
30,9,B013,Excellent and interesting read. I loved the story.,5.0,2026-03-16T09:00:00,positive,3
31,9,B019,Great book with helpful ideas and an enjoyable narrative.,2.6,2025-08-01T20:00:00,positive,2
32,10,B002,Wonderful book. I enjoyed it and recommend it.,4.6,2026-05-26T20:00:00,positive,2
33,10,B001,Wonderful book. I enjoyed it and recommend it.,5.0,2025-05-15T09:00:00,positive,2
34,10,B007,Interesting but the pacing was slow.,3.1,2026-04-18T03:00:00,neutral,0
35,11,B019,Confusing and disappointing in places.,3.3,2025-11-26T06:00:00,negative,-2
36,11,B006,Wonderful book. I enjoyed it and recommend it.,3.5,2025-06-05T15:00:00,positive,2
37,11,B020,Interesting but the pacing was slow.,5.0,2026-05-15T17:00:00,neutral,0
38,12,B013,Confusing and disappointing in places.,2.9,2025-09-04T15:00:00,negative,-2
39,12,B002,Confusing and disappointing in places.,3.9,2026-04-22T09:00:00,negative,-2
40,13,B014,Interesting but the pacing was slow.,2.3,2025-02-10T09:00:00,neutral,0
41,13,B006,Wonderful book. I enjoyed it and recommend it.,5.0,2026-02-11T17:00:00,positive,2
42,14,B017,Excellent and interesting read. I loved the story.,3.7,2026-04-21T22:00:00,positive,3
43,14,B017,Great book with helpful ideas and an enjoyable narrative.,4.6,2025-02-08T09:00:00,positive,2
44,14,B019,Confusing and disappointing in places.,3.0,2026-02-22T08:00:00,negative,-2
45,15,B020,Interesting but the pacing was slow.,3.4,2025-09-14T05:00:00,neutral,0
46,15,B003,Confusing and disappointing in places.,1.8,2026-06-18T09:00:00,negative,-2
47,15,B016,Excellent and interesting read. I loved the story.,4.0,2025-10-29T14:00:00,positive,3
48,15,B012,Excellent and interesting read. I loved the story.,5.0,2026-05-01T02:00:00,positive,3
49,16,B010,Wonderful book. I enjoyed it and recommend it.,3.3,2026-02-15T02:00:00,positive,2
50,16,B016,Interesting but the pacing was slow.,3.5,2025-08-09T12:00:00,neutral,0
51,16,B012,Excellent and interesting read. I loved the story.,3.4,2025-06-09T05:00:00,positive,3
52,17,B010,Excellent and interesting read. I loved the story.,2.7,2025-06-25T19:00:00,positive,3
53,17,B014,Great book with helpful ideas and an enjoyable narrative.,3.7,2026-02-10T09:00:00,positive,2
54,17,B018,Great book with helpful ideas and an enjoyable narrative.,4.2,2025-07-18T11:00:00,positive,2
55,17,B001,Confusing and disappointing in places.,3.3,2025-11-27T20:00:00,negative,-2
56,17,B020,Interesting but the pacing was slow.,4.0,2025-03-17T09:00:00,neutral,0
57,18,B007,Excellent and interesting read. I loved the story.,4.5,2025-02-23T20:00:00,positive,3
58,18,B005,Excellent and interesting read. I loved the story.,3.7,2025-05-25T11:00:00,positive,3
59,18,B007,Interesting but the pacing was slow.,4.5,2025-12-16T15:00:00,neutral,0
60,18,B006,Wonderful book. I enjoyed it and recommend it.,4.6,2025-05-15T19:00:00,positive,2
61,18,B008,Confusing and disappointing in places.,2.1,2025-07-24T19:00:00,negative,-2
62,19,B020,Excellent and interesting read. I loved the story.,3.5,2026-06-25T13:00:00,positive,3
63,19,B002,Confusing and disappointing in places.,4.5,2025-02-18T07:00:00,negative,-2
64,19,B020,Confusing and disappointing in places.,4.8,2025-10-26T13:00:00,negative,-2
65,21,B013,Excellent and interesting read. I loved the story.,4.8,2026-01-11T12:00:00,positive,3
66,21,B006,Great book with helpful ideas and an enjoyable narrative.,2.6,2025-08-08T19:00:00,positive,2
67,21,B004,Wonderful book. I enjoyed it and recommend it.,3.5,2025-05-23T07:00:00,positive,2
68,22,B012,Interesting but the pacing was slow.,3.5,2025-10-18T02:00:00,neutral,0
69,22,B020,Wonderful book. I enjoyed it and recommend it.,3.0,2025-12-12T18:00:00,positive,2
70,23,B002,Wonderful book. I enjoyed it and recommend it.,4.8,2025-07-19T11:00:00,positive,2
71,23,B020,Excellent and interesting read. I loved the story.,3.9,2026-04-07T17:00:00,positive,3
72,24,B014,Interesting but the pacing was slow.,2.9,2025-07-16T07:00:00,neutral,0
73,24,B004,Wonderful book. I enjoyed it and recommend it.,4.2,2026-03-29T20:00:00,positive,2
74,24,B013,Wonderful book. I enjoyed it and recommend it.,3.0,2025-10-05T17:00:00,positive,2
75,24,B019,Great book with helpful ideas and an enjoyable narrative.,2.8,2025-02-23T03:00:00,positive,2
76,24,B003,Confusing and disappointing in places.,2.3,2025-01-06T17:00:00,negative,-2
77,25,B006,Wonderful book. I enjoyed it and recommend it.,3.5,2025-03-25T16:00:00,positive,2
78,27,B020,Great book with helpful ideas and an enjoyable narrative.,4.0,2025-09-08T23:00:00,positive,2
79,27,B015,Wonderful book. I enjoyed it and recommend it.,4.5,2025-02-27T04:00:00,positive,2
80,27,B010,Wonderful book. I enjoyed it and recommend it.,2.9,2026-06-18T07:00:00,positive,2
81,27,B007,Great book with helpful ideas and an enjoyable narrative.,4.6,2025-11-04T12:00:00,positive,2
82,28,B017,Confusing and disappointing in places.,4.4,2026-01-15T02:00:00,negative,-2
83,28,B012,Great book with helpful ideas and an enjoyable narrative.,4.1,2025-12-07T09:00:00,positive,2
84,28,B010,Great book with helpful ideas and an enjoyable narrative.,3.9,2025-09-06T22:00:00,positive,2
85,28,B007,Great book with helpful ideas and an enjoyable narrative.,3.3,2026-02-28T01:00:00,positive,2
86,28,B002,Wonderful book. I enjoyed it and recommend it.,4.1,2026-03-04T09:00:00,positive,2
87,29,B016,Great book with helpful ideas and an enjoyable narrative.,3.1,2025-02-19T00:00:00,positive,2
88,29,B020,Wonderful book. I enjoyed it and recommend it.,3.7,2025-01-10T06:00:00,positive,2
89,29,B013,Confusing and disappointing in places.,3.2,2025-12-29T08:00:00,negative,-2
90,29,B013,Confusing and disappointing in places.,5.0,2025-02-27T20:00:00,negative,-2
91,30,B011,Great book with helpful ideas and an enjoyable narrative.,4.2,2025-09-10T22:00:00,positive,2
92,30,B002,Interesting but the pacing was slow.,2.9,2026-02-03T10:00:00,neutral,0
93,30,B002,Excellent and interesting read. I loved the story.,3.4,2026-04-01T11:00:00,positive,3
94,30,B019,Excellent and interesting read. I loved the story.,3.4,2025-07-11T13:00:00,positive,3
95,30,B001,Interesting but the pacing was slow.,3.6,2025-09-06T18:00:00,neutral,0
96,30,B019,Interesting but the pacing was slow.,3.1,2025-11-05T08:00:00,neutral,0
97,31,B018,Interesting but the pacing was slow.,4.7,2026-03-17T20:00:00,neutral,0
98,31,B002,Wonderful book. I enjoyed it and recommend it.,5.0,2025-07-24T18:00:00,positive,2
99,32,B005,Great book with helpful ideas and an enjoyable narrative.,4.9,2025-10-30T13:00:00,positive,2
100,32,B011,Interesting but the pacing was slow.,3.8,2025-11-04T01:00:00,neutral,0
101,32,B003,Confusing and disappointing in places.,2.2,2025-07-11T11:00:00,negative,-2
102,32,B010,Great book with helpful ideas and an enjoyable narrative.,2.7,2025-11-17T03:00:00,positive,2
103,33,B012,Confusing and disappointing in places.,4.0,2026-01-11T17:00:00,negative,-2
104,35,B018,Interesting but the pacing was slow.,3.1,2025-08-23T12:00:00,neutral,0
105,35,B020,Excellent and interesting read. I loved the story.,4.0,2025-08-11T02:00:00,positive,3
106,35,B017,Wonderful book. I enjoyed it and recommend it.,4.1,2025-05-24T07:00:00,positive,2
107,36,B013,Interesting but the pacing was slow.,4.1,2025-03-14T16:00:00,neutral,0
108,36,B001,Excellent and interesting read. I loved the story.,4.4,2025-01-18T18:00:00,positive,3
109,36,B007,Wonderful book. I enjoyed it and recommend it.,1.5,2025-09-02T01:00:00,positive,2
110,36,B013,Wonderful book. I enjoyed it and recommend it.,4.0,2025-03-20T15:00:00,positive,2
111,37,B010,Excellent and interesting read. I loved the story.,3.4,2026-04-29T11:00:00,positive,3
112,37,B014,Great book with helpful ideas and an enjoyable narrative.,4.5,2025-05-03T16:00:00,positive,2
113,37,B018,Confusing and disappointing in places.,3.5,2026-06-13T01:00:00,negative,-2
114,37,B005,Great book with helpful ideas and an enjoyable narrative.,3.3,2025-10-17T09:00:00,positive,2
115,37,B005,Wonderful book. I enjoyed it and recommend it.,3.2,2025-09-09T04:00:00,positive,2
116,38,B007,Great book with helpful ideas and an enjoyable narrative.,4.5,2026-02-08T02:00:00,positive,2
117,38,B015,Wonderful book. I enjoyed it and recommend it.,3.6,2026-04-09T08:00:00,positive,2
118,38,B020,Interesting but the pacing was slow.,3.4,2026-04-20T08:00:00,neutral,0
119,38,B020,Confusing and disappointing in places.,3.3,2025-02-20T21:00:00,negative,-2
120,39,B014,Confusing and disappointing in places.,4.1,2025-03-18T00:00:00,negative,-2
121,39,B002,Wonderful book. I enjoyed it and recommend it.,3.9,2025-12-06T03:00:00,positive,2
122,39,B018,Wonderful book. I enjoyed it and recommend it.,4.5,2025-03-31T08:00:00,positive,2
123,40,B006,Excellent and interesting read. I loved the story.,4.2,2026-05-20T17:00:00,positive,3
124,40,B016,Wonderful book. I enjoyed it and recommend it.,4.1,2025-08-27T19:00:00,positive,2
125,40,B018,Wonderful book. I enjoyed it and recommend it.,4.2,2026-05-14T20:00:00,positive,2
126,40,B001,Excellent and interesting read. I loved the story.,3.1,2025-06-29T12:00:00,positive,3
127,40,B011,Interesting but the pacing was slow.,3.4,2025-05-25T10:00:00,neutral,0
128,40,B011,Interesting but the pacing was slow.,3.8,2025-06-21T20:00:00,neutral,0
129,41,B003,Great book with helpful ideas and an enjoyable narrative.,4.1,2025-11-23T08:00:00,positive,2
